"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
301,83.5,83.5,16.5,"Aarberg BE","Aarberg hat die Ernährungsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 83,5 Prozent. Aarberg sagt Ja zur Ernährungsinitiative, im Kanton Bern überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/CHE_Aarberg_BE_COA.svg/500px-CHE_Aarberg_BE_COA.svg.png"
302,88.9,88.9,11.1,"Bargen BE","In Bargen BE ist die Ernährungsinitiative mit 88,9 Prozent der Stimmen angenommen worden. Bargen BE sagt Ja zur Ernährungsinitiative, im Kanton Bern überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_Bargen_BE_COA.svg/500px-CHE_Bargen_BE_COA.svg.png"
303,47.8,47.8,52.2,"Grossaffoltern BE","In Grossaffoltern hat die Ernährungsinitiative keine Mehrheit gefunden: 52,2 Prozent lehnen die Vorlage ab. Sowohl Grossaffoltern als auch der Kanton Bern verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/23/CHE_Grossaffoltern_BE_COA.svg/500px-CHE_Grossaffoltern_BE_COA.svg.png"
304,61.1,61.1,38.9,"Kallnach BE","61,1 Prozent der Stimmbürgerinnen und Stimmbürger in Kallnach sagen Ja zur Ernährungsinitiative. Kallnach sagt Ja zur Ernährungsinitiative, im Kanton Bern überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/17/CHE_Kallnach_COA.svg/500px-CHE_Kallnach_COA.svg.png"
305,0.5,0.5,99.5,"Kappelen BE","In Kappelen hat die Ernährungsinitiative keine Mehrheit gefunden: 99,5 Prozent lehnen die Vorlage ab. Sowohl Kappelen als auch der Kanton Bern verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/72/CHE_Kappelen_BE_COA.svg/500px-CHE_Kappelen_BE_COA.svg.png"
306,7.8,7.8,92.2,"Lyss BE","Nein zur Ernährungsinitiative in Lyss: 92,2 Prozent. Sowohl Lyss als auch der Kanton Bern verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/CHE_Lyss_COA.svg/500px-CHE_Lyss_COA.svg.png"
307,32.6,32.6,67.4,"Meikirch BE","In Meikirch wird die Ernährungsinitiative mit 67,4 Prozent abgelehnt. Sowohl Meikirch als auch der Kanton Bern verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/CHE_Meikirch_COA.svg/500px-CHE_Meikirch_COA.svg.png"
309,23.5,23.5,76.5,"Radelfingen BE","Mit 76,5 Prozent wird die Ernährungsinitiative in Radelfingen verworfen. Sowohl Radelfingen als auch der Kanton Bern verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/05/CHE_Radelfingen_BE_COA.svg/500px-CHE_Radelfingen_BE_COA.svg.png"
310,68.1,68.1,31.9,"Rapperswil BE","Die Ernährungsinitiative ist in Rapperswil BE mit 68,1 Prozent der Stimmen angenommen worden. Rapperswil BE sagt Ja zur Ernährungsinitiative, im Kanton Bern überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8f/CHE_Rapperswil_BE_official_COA.svg/500px-CHE_Rapperswil_BE_official_COA.svg.png"
311,27.6,27.6,72.4,"Schüpfen BE","In Schüpfen hat die Ernährungsinitiative keine Mehrheit gefunden: 72,4 Prozent lehnen die Vorlage ab. Sowohl Schüpfen als auch der Kanton Bern verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/CHE_Sch%C3%BCpfen_BE_COA.svg/500px-CHE_Sch%C3%BCpfen_BE_COA.svg.png"
