"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
2761,51.3,51.3,48.7,"Aesch BL","In Aesch BL wird die Neutralitätsinitiative mit 51,3 Prozent angenommen. Aesch BL sagt wie der Kanton Basel-Landschaft Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/32/CHE_Aesch_BL_COA.svg/960px-CHE_Aesch_BL_COA.svg.png"
2762,81.5,81.5,18.5,"Allschwil BL","Ja zur Neutralitätsinitiative in Allschwil: 81,5 Prozent. Allschwil sagt wie der Kanton Basel-Landschaft Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3c/CHE_Allschwil_COA.svg/960px-CHE_Allschwil_COA.svg.png"
2763,12.1,12.1,87.9,"Arlesheim BL","Mit 87,9 Prozent wird die Neutralitätsinitiative in Arlesheim verworfen. Abweichung: Arlesheim verwirft die Neutralitätsinitiative, der Kanton Basel-Landschaft stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/db/CHE_Arlesheim_COA.svg/960px-CHE_Arlesheim_COA.svg.png"
2764,10,10,90,"Biel-Benken BL","90 Prozent der Stimmbürgerinnen und Stimmbürger von Biel-Benken sprechen sich gegen die Neutralitätsinitiative aus. Abweichung: Biel-Benken verwirft die Neutralitätsinitiative, der Kanton Basel-Landschaft stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d0/CHE_Biel-Benken_COA.svg/960px-CHE_Biel-Benken_COA.svg.png"
2765,96,96,4,"Binningen BL","In Binningen ist die Neutralitätsinitiative mit 96 Prozent der Stimmen angenommen worden. Binningen sagt wie der Kanton Basel-Landschaft Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/56/CHE_Binningen_COA.svg/500px-CHE_Binningen_COA.svg.png"
2766,90.7,90.7,9.3,"Birsfelden BL","Ja zur Neutralitätsinitiative in Birsfelden: 90,7 Prozent. Birsfelden sagt wie der Kanton Basel-Landschaft Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8d/Coat_of_arms_of_Birsfelden.svg/960px-Coat_of_arms_of_Birsfelden.svg.png"
2767,27.1,27.1,72.9,"Bottmingen BL","72,9 Prozent der Stimmbürgerinnen und Stimmbürger von Bottmingen haben die Neutralitätsinitiative abgelehnt. Abweichung: Bottmingen verwirft die Neutralitätsinitiative, der Kanton Basel-Landschaft stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/CHE_Bottmingen_COA.svg/960px-CHE_Bottmingen_COA.svg.png"
2768,24.7,24.7,75.3,"Ettingen BL","75,3 Prozent der Stimmbürgerinnen und Stimmbürger von Ettingen haben die Neutralitätsinitiative abgelehnt. Abweichung: Ettingen verwirft die Neutralitätsinitiative, der Kanton Basel-Landschaft stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/87/Coat_of_arms_of_Ettingen.svg/960px-Coat_of_arms_of_Ettingen.svg.png"
2769,57.4,57.4,42.6,"Münchenstein BL","In Münchenstein ist die Neutralitätsinitiative mit 57,4 Prozent der Stimmen angenommen worden. Münchenstein sagt wie der Kanton Basel-Landschaft Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7d/CHE_M%C3%BCnchenstein_COA.svg/500px-CHE_M%C3%BCnchenstein_COA.svg.png"
2770,63.7,63.7,36.3,"Muttenz BL","Mit 63,7 Prozent befürworten die Stimmberechtigten von Muttenz die Neutralitätsinitiative. Muttenz sagt wie der Kanton Basel-Landschaft Ja zur Neutralitätsinitiative.","https://upload.wikimedia.org/wikipedia/commons/6/67/Wappen_Muttenz.png"
