"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
2008,34.7,34.7,65.3,"Châtillon (FR)","L'initiative ""pour une alimentation sûre"" n'a pas trouvé grâce aux yeux des citoyens de Châtillon (FR). Ils ont refusé le texte à 65,3 pour cent. Châtillon (FR) a dit non à l'initiative, contrairement à son canton.","https://upload.wikimedia.org/wikipedia/commons/7/71/Ch%C3%A2tillon.png"
2011,61.3,61.3,38.7,"Cugy (FR)","Les habitants de Cugy (FR) acceptent à 61,3 pour cent l'initiative ""pour une alimentation sûre"". Cugy (FR) a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ad/CHE_Cugy_FR_COA.svg/960px-CHE_Cugy_FR_COA.svg.png"
2022,52.6,52.6,47.4,"Gletterens (FR)","L'initiative ""pour une alimentation sûre"" est approuvée à Gletterens par 52,6 pour cent des votants. Gletterens a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/39/CHE_Gletterens_COA.svg/500px-CHE_Gletterens_COA.svg.png"
2025,13.5,13.5,86.5,"Lully (FR)","L'initiative ""pour une alimentation sûre"" n'a pas convaincu à Lully (FR). Les citoyens de la commune ont refusé le texte à 86,5 pour cent. Lully (FR) a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/11/CHE_Lully_FR_COA.svg/250px-CHE_Lully_FR_COA.svg.png"
2029,33.1,33.1,66.9,"Montagny (FR)","L'initiative ""pour une alimentation sûre"" est refusée à 66,9 pour cent à Montagny (FR). Montagny (FR) a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5c/CHE_Montagny_COA.svg/960px-CHE_Montagny_COA.svg.png"
2035,57,57,43,"Nuvilly (FR)","La population de Nuvilly approuve à 57 pour cent l'initiative ""pour une alimentation sûre"". Nuvilly a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/63/CHE_Nuvilly_COA.svg/250px-CHE_Nuvilly_COA.svg.png"
2038,17,17,83,"Prévondavaux (FR)","L'initiative ""pour une alimentation sûre"" est refusée à 83 pour cent à Prévondavaux. Prévondavaux a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/Pr%C3%A9vondavaux-coat_of_arms.svg/500px-Pr%C3%A9vondavaux-coat_of_arms.svg.png"
2041,28.7,28.7,71.3,"Saint-Aubin (FR)","Les habitants de Saint-Aubin (FR) s'opposent à l'initiative ""pour une alimentation sûre"" par 71,3 pour cent des voix. Saint-Aubin (FR) a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/Saint-Aubin-coat_of_arms.svg/500px-Saint-Aubin-coat_of_arms.svg.png"
2043,46.7,46.7,53.3,"Sévaz (FR)","L'initiative ""pour une alimentation sûre"" n'a pas trouvé grâce aux yeux des citoyens de Sévaz. Ils ont refusé le texte à 53,3 pour cent. Sévaz a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/CHE_S%C3%A9vaz_COA.svg/960px-CHE_S%C3%A9vaz_COA.svg.png"
2044,55.6,55.6,44.4,"Surpierre (FR)","Les habitants de Surpierre soutiennent à 55,6 pour cent l'initiative ""pour une alimentation sûre"". Surpierre a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/CHE_Surpierre_COA.svg/500px-CHE_Surpierre_COA.svg.png"
2045,40.2,40.2,59.8,"Vallon (FR)","Les habitants de Vallon s'opposent à l'initiative ""pour une alimentation sûre"" par 59,8 pour cent des voix. Vallon a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/83/CHE_Vallon_COA.svg/500px-CHE_Vallon_COA.svg.png"
2050,19.2,19.2,80.8,"Les Montets (FR)","C'est non à l'initiative ""pour une alimentation sûre"" aux Montets. Les habitants ont refusé le texte à 80,8 pour cent. Les Montets a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/CHE_Les_Montets_COA.svg/250px-CHE_Les_Montets_COA.svg.png"
2051,37.9,37.9,62.1,"Delley-Portalban (FR)","La population de Delley-Portalban rejette à 62,1 pour cent des voix l'initiative ""pour une alimentation sûre"". Delley-Portalban a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/68/CHE_Delley-Portalban_COA.svg/500px-CHE_Delley-Portalban_COA.svg.png"
2053,78,78,22,"Belmont-Broye (FR)","Les habitants de Belmont-Broye acceptent à 78 pour cent l'initiative ""pour une alimentation sûre"". Belmont-Broye a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7f/CHE_Belmont-Broye_COA.svg/500px-CHE_Belmont-Broye_COA.svg.png"
2054,34.6,34.6,65.4,"Estavayer (FR)","La population d'Estavayer rejette à 65,4 pour cent des voix l'initiative ""pour une alimentation sûre"". Estavayer a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/94/CHE_Estavayer_COA.svg/250px-CHE_Estavayer_COA.svg.png"
2055,68.8,68.8,31.2,"Cheyres-Châbles (FR)","Les habitants de Cheyres-Châbles soutiennent à 68,8 pour cent l'initiative ""pour une alimentation sûre"". Cheyres-Châbles a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bc/CHE_Cheyres-Ch%C3%A2bles_COA.svg/250px-CHE_Cheyres-Ch%C3%A2bles_COA.svg.png"
2056,59,59,41,"Fétigny-Ménières (FR)","L'initiative ""pour une alimentation sûre"" passe la rampe avec 59 pour cent de oui à Fétigny-Ménières. Fétigny-Ménières a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/CHE_F%C3%A9tigny-M%C3%A9ni%C3%A8res_COA.svg/500px-CHE_F%C3%A9tigny-M%C3%A9ni%C3%A8res_COA.svg.png"
2063,59.9,59.9,40.1,"Billens-Hennens (FR)","La population de Billens-Hennens approuve à 59,9 pour cent l'initiative ""pour une alimentation sûre"". Billens-Hennens a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/CHE_Billens-Hennens_COA.svg/250px-CHE_Billens-Hennens_COA.svg.png"
2067,37.4,37.4,62.6,"Le Châtelard (FR)","L'initiative ""pour une alimentation sûre"" n'a pas trouvé grâce aux yeux des citoyens du Châtelard. Ils ont refusé le texte à 62,6 pour cent. Le Châtelard a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/de/CHE_Le_Ch%C3%A2telard_FR_COA.svg/500px-CHE_Le_Ch%C3%A2telard_FR_COA.svg.png"
