"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
6601,76.4,76.4,23.6,"Aire-la-Ville (GE)","Avec 76,4 pour cent de oui, une majorité des électeurs d'Aire-la-Ville a accepté le crédit de 39,5 millions de francs pour la création d'infrastructures transfrontalières de mobilité, incluant des parkings-relais. Tout comme le canton, Aire-la-Ville approuve le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité et des parkings-relais.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/CHE_Aire-la-Ville_COA.svg/960px-CHE_Aire-la-Ville_COA.svg.png"
6602,57.3,57.3,42.7,"Anières (GE)","Avec 57,3 pour cent de oui, une majorité des électeurs d'Anières a accepté le crédit de 39,5 millions de francs pour la création d'infrastructures transfrontalières de mobilité, incluant des parkings-relais. Tout comme le canton, Anières approuve le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité et des parkings-relais.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b8/CHE_Ani%C3%A8res_COA.svg/960px-CHE_Ani%C3%A8res_COA.svg.png"
6603,43.4,43.4,56.6,"Avully (GE)","A Avully, le crédit de 39,5 millions de francs pour la création d'infrastructures transfrontalières de mobilité et de parkings-relais n'a pas trouvé de majorité: 56,6 pour cent rejettent la mesure. Avully rejette le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité, alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4f/CHE_Avully_COA.svg/960px-CHE_Avully_COA.svg.png"
6604,26.6,26.6,73.4,"Avusy (GE)","A Avusy, le projet de crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité ne réunit pas de majorité, avec 73,4 pour cent de non. Avusy rejette le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité, alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e6/CHE_Avusy_COA.svg/960px-CHE_Avusy_COA.svg.png"
6605,59.1,59.1,40.9,"Bardonnex (GE)","Le crédit d'investissement de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité et des parkings-relais a été accepté à Bardonnex avec 59,1 pour cent des voix. Tout comme le canton, Bardonnex approuve le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité et des parkings-relais.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/15/CHE_Bardonnex_COA.svg/500px-CHE_Bardonnex_COA.svg.png"
6606,26.3,26.3,73.7,"Bellevue (GE)","A Bellevue, le crédit de 39,5 millions de francs pour la création d'infrastructures transfrontalières de mobilité et de parkings-relais n'a pas trouvé de majorité: 73,7 pour cent rejettent la mesure. Bellevue rejette le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité, alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/09/CHE_Bellevue_COA.svg/960px-CHE_Bellevue_COA.svg.png"
6607,24,24,76,"Bernex (GE)","A Bernex, le crédit de 39,5 millions de francs pour la création d'infrastructures transfrontalières de mobilité et de parkings-relais n'a pas trouvé de majorité: 76 pour cent rejettent la mesure. Bernex rejette le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité, alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/CHE_Bernex_COA.svg/960px-CHE_Bernex_COA.svg.png"
6608,43.8,43.8,56.2,"Carouge (GE)","Non au crédit de 39,5 millions de francs pour les infrastructures transfrontalières de mobilité et les parkings-relais à Carouge (GE): le texte est rejeté par 56,2 pour cent des votants. Carouge (GE) rejette le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité, alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/CHE_Carouge_COA.svg/960px-CHE_Carouge_COA.svg.png"
6609,50.2,50.2,49.8,"Cartigny (GE)","A Cartigny, le crédit de 39,5 millions de francs destiné aux infrastructures transfrontalières de mobilité et aux parkings-relais récolte 50,2 pour cent d'approbation. Tout comme le canton, Cartigny approuve le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité et des parkings-relais.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/CHE_Cartigny_COA.svg/960px-CHE_Cartigny_COA.svg.png"
6610,43.1,43.1,56.9,"Céligny (GE)","Non au crédit de 39,5 millions de francs pour les infrastructures transfrontalières de mobilité et les parkings-relais à Céligny: le texte est rejeté par 56,9 pour cent des votants. Céligny rejette le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité, alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7b/CHE_C%C3%A9ligny_COA.svg/960px-CHE_C%C3%A9ligny_COA.svg.png"
6611,13.6,13.6,86.4,"Chancy (GE)","Non au crédit de 39,5 millions de francs pour les infrastructures transfrontalières de mobilité et les parkings-relais à Chancy: le texte est rejeté par 86,4 pour cent des votants. Chancy rejette le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité, alors que le canton l'accepte.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/52/CHE_Chancy_COA.svg/960px-CHE_Chancy_COA.svg.png"
6612,74.2,74.2,25.8,"Chêne-Bougeries (GE)","Avec 74,2 pour cent de oui, une majorité des électeurs de Chêne-Bougeries a accepté le crédit de 39,5 millions de francs pour la création d'infrastructures transfrontalières de mobilité, incluant des parkings-relais. Tout comme le canton, Chêne-Bougeries approuve le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité et des parkings-relais.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/CHE_Ch%C3%AAne-Bougeries_COA.svg/500px-CHE_Ch%C3%AAne-Bougeries_COA.svg.png"
6613,83.9,83.9,16.1,"Chêne-Bourg (GE)","Avec 83,9 pour cent de oui, une majorité des électeurs de Chêne-Bourg a accepté le crédit de 39,5 millions de francs pour la création d'infrastructures transfrontalières de mobilité, incluant des parkings-relais. Tout comme le canton, Chêne-Bourg approuve le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité et des parkings-relais.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/CHE_Ch%C3%AAne-Bourg_COA.svg/960px-CHE_Ch%C3%AAne-Bourg_COA.svg.png"
6614,76.6,76.6,23.4,"Choulex (GE)","A Choulex, le crédit de 39,5 millions de francs destiné aux infrastructures transfrontalières de mobilité et aux parkings-relais récolte 76,6 pour cent d'approbation. Tout comme le canton, Choulex approuve le crédit de 39,5 millions de francs pour des infrastructures transfrontalières de mobilité et des parkings-relais.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/CHE_Choulex_COA.svg/960px-CHE_Choulex_COA.svg.png"
