"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
1001,43.7,43.7,56.3,"Doppleschwand LU","In Doppleschwand hat die Ernährungsinitiative keine Mehrheit gefunden: 56,3 Prozent lehnen die Vorlage ab. Doppleschwand lehnt die Ernährungsinitiative ab, der Kanton Luzern nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/14/CHE_Doppleschwand_COA.svg/960px-CHE_Doppleschwand_COA.svg.png"
1002,21.8,21.8,78.2,"Entlebuch LU","Mit 78,2 Prozent wird die Ernährungsinitiative in Entlebuch verworfen. Entlebuch lehnt die Ernährungsinitiative ab, der Kanton Luzern nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/CHE_Entlebuch_COA.svg/960px-CHE_Entlebuch_COA.svg.png"
1004,75,75,25,"Flühli LU","In Flühli wird die Ernährungsinitiative mit 75 Prozent angenommen. Flühli und der Kanton Luzern sagen Ja zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/CHE_Fluehli_COA.svg/960px-CHE_Fluehli_COA.svg.png"
1005,80.3,80.3,19.7,"Hasle LU","Die Ernährungsinitiative ist in Hasle LU mit 80,3 Prozent der Stimmen angenommen worden. Hasle LU und der Kanton Luzern sagen Ja zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ac/CHE_Hasle_LU_COA.svg/960px-CHE_Hasle_LU_COA.svg.png"
1007,55.4,55.4,44.6,"Romoos LU","In Romoos wird die Ernährungsinitiative mit 55,4 Prozent angenommen. Romoos und der Kanton Luzern sagen Ja zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/96/CHE_Romoos_COA.svg/960px-CHE_Romoos_COA.svg.png"
1008,4.8,4.8,95.2,"Schüpfheim LU","In Schüpfheim hat die Ernährungsinitiative keine Mehrheit gefunden: 95,2 Prozent lehnen die Vorlage ab. Schüpfheim lehnt die Ernährungsinitiative ab, der Kanton Luzern nimmt sie an.","https://upload.wikimedia.org/wikipedia/commons/7/75/CHE_Schuepfheim_COA.png"
1009,55.6,55.6,44.4,"Werthenstein LU","Werthenstein hat die Ernährungsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 55,6 Prozent. Werthenstein und der Kanton Luzern sagen Ja zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ec/CHE_Werthenstein_COA.svg/960px-CHE_Werthenstein_COA.svg.png"
1010,69.9,69.9,30.1,"Escholzmatt-Marbach LU","In Escholzmatt-Marbach wird die Ernährungsinitiative mit 69,9 Prozent angenommen. Escholzmatt-Marbach und der Kanton Luzern sagen Ja zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/25/CHE_Escholzmatt-Marbach_COA.svg/960px-CHE_Escholzmatt-Marbach_COA.svg.png"
1021,6.3,6.3,93.7,"Aesch LU","In Aesch LU hat die Ernährungsinitiative keine Mehrheit gefunden: 93,7 Prozent lehnen die Vorlage ab. Aesch LU lehnt die Ernährungsinitiative ab, der Kanton Luzern nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/CHE_Aesch_LU_COA.svg/960px-CHE_Aesch_LU_COA.svg.png"
1023,26.4,26.4,73.6,"Ballwil LU","In Ballwil hat die Ernährungsinitiative keine Mehrheit gefunden: 73,6 Prozent lehnen die Vorlage ab. Ballwil lehnt die Ernährungsinitiative ab, der Kanton Luzern nimmt sie an.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/de/CHE_Ballwil_COA.svg/960px-CHE_Ballwil_COA.svg.png"
