"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
6404,46.6,46.6,53.4,"Boudry (NE)","Les habitants de Boudry s'opposent à l'initiative sur la neutralité par 53,4 pour cent des voix. Boudry a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/86/CHE_Boudry_COA.svg/250px-CHE_Boudry_COA.svg.png"
6408,69.2,69.2,30.8,"Cortaillod (NE)","L'initiative sur la neutralité passe la rampe avec 69,2 pour cent de oui à Cortaillod. Cortaillod a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/Cortaillod-blazon.svg/250px-Cortaillod-blazon.svg.png"
6413,51,51,49,"Rochefort (NE)","Les habitants de Rochefort soutiennent à 51 pour cent l'initiative sur la neutralité. Rochefort a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ca/Rochefort-blazon.svg/250px-Rochefort-blazon.svg.png"
6416,1.3,1.3,98.7,"Milvignes (NE)","L'initiative sur la neutralité n'a pas trouvé grâce aux yeux des citoyens de Milvignes. Ils ont refusé le texte à 98,7 pour cent. Milvignes a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c5/Milvignes-blazon.svg/250px-Milvignes-blazon.svg.png"
6417,32.6,32.6,67.4,"La Grande Béroche (NE)","L'initiative sur la neutralité n'a pas trouvé grâce aux yeux des citoyens de La Grande Béroche. Ils ont refusé le texte à 67,4 pour cent. La Grande Béroche a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6e/LaGrandeB%C3%A9roche-blazon.svg/250px-LaGrandeB%C3%A9roche-blazon.svg.png"
6421,0.1,0.1,99.9,"La Chaux-de-Fonds (NE)","Avec l'initiative sur la neutralité, La Chaux-de-Fonds affiche la plus forte part de non du pays, avec 99,9 pour cent. L'initiative a récolté le plus grand pourcentage de non du canton dans cette commune.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/CHE_La_Chaux-de-Fonds_COA.svg/500px-CHE_La_Chaux-de-Fonds_COA.svg.png"
6422,50.7,50.7,49.3,"Les Planchettes (NE)","Aux Planchettes, les habitants disent oui à 50,7 pour cent à l'initiative sur la neutralité. Les Planchettes a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/CHE_Les_Planchettes_COA.svg/500px-CHE_Les_Planchettes_COA.svg.png"
6423,45.7,45.7,54.3,"La Sagne (NE)","Les habitants de La Sagne s'opposent à l'initiative sur la neutralité par 54,3 pour cent des voix. La Sagne a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/86/La_Sagne-coat_of_arms.svg/500px-La_Sagne-coat_of_arms.svg.png"
6432,75.7,75.7,24.3,"La Brévine (NE)","La Brévine dit oui à 75,7 pour cent à l'initiative sur la neutralité. La Brévine a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/CHE_La_Br%C3%A9vine_COA.svg/500px-CHE_La_Br%C3%A9vine_COA.svg.png"
6433,94.7,94.7,5.3,"Brot-Plamboz (NE)","A Brot-Plamboz, les habitants disent oui à 94,7 pour cent à l'initiative sur la neutralité. L'initiative a récolté le plus grand pourcentage de oui du canton dans cette commune.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/48/Brot-Plamboz-coat_of_arms.svg/500px-Brot-Plamboz-coat_of_arms.svg.png"
6434,86.7,86.7,13.3,"Le Cerneux-Péquignot (NE)","L'initiative sur la neutralité passe la rampe avec 86,7 pour cent de oui au Cerneux-Péquignot. Le Cerneux-Péquignot a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9e/Le_Cerneux-Pequignot-coat_of_arms.svg/500px-Le_Cerneux-Pequignot-coat_of_arms.svg.png"
6435,29.1,29.1,70.9,"La Chaux-du-Milieu (NE)","Les habitants de La Chaux-du-Milieu s'opposent à l'initiative sur la neutralité par 70,9 pour cent des voix. La Chaux-du-Milieu a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/49/La_Chaux-du-Milieu-coat_of_arms.svg/500px-La_Chaux-du-Milieu-coat_of_arms.svg.png"
6436,87.7,87.7,12.3,"Le Locle (NE)","L'initiative sur la neutralité est approuvée au Locle par 87,7 pour cent des votants. Le Locle a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4e/LeLocle-blazon.svg/250px-LeLocle-blazon.svg.png"
6437,68.3,68.3,31.7,"Les Ponts-de-Martel (NE)","Les habitants des Ponts-de-Martel soutiennent à 68,3 pour cent l'initiative sur la neutralité. Les Ponts-de-Martel a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/CHE_Les_Ponts-de-Martel_COA.svg/500px-CHE_Les_Ponts-de-Martel_COA.svg.png"
6451,23.2,23.2,76.8,"Cornaux (NE)","L'initiative sur la neutralité est refusée à 76,8 pour cent à Cornaux. Cornaux a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/CHE_Cornaux_COA.svg/500px-CHE_Cornaux_COA.svg.png"
6452,24.4,24.4,75.6,"Cressier (NE)","L'initiative sur la neutralité n'a pas convaincu à Cressier (NE). Les citoyens de la commune ont refusé le texte à 75,6 pour cent. Cressier (NE) a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d4/Cressier_NE-blazon.svg/250px-Cressier_NE-blazon.svg.png"
6455,68.6,68.6,31.4,"Le Landeron (NE)","L'initiative sur la neutralité est approuvée au Landeron par 68,6 pour cent des votants. Le Landeron a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/01/LeLanderon-blazon.svg/250px-LeLanderon-blazon.svg.png"
6456,55.3,55.3,44.7,"Lignières (NE)","A Lignières, les habitants disent oui à 55,3 pour cent à l'initiative sur la neutralité. Lignières a dit oui à l'initiative, mais le canton a voté non.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6f/CHE_Ligni%C3%A8res_COA.svg/500px-CHE_Ligni%C3%A8res_COA.svg.png"
6458,43.1,43.1,56.9,"Neuchâtel (NE)","C'est non à l'initiative sur la neutralité à Neuchâtel. Les habitants ont refusé le texte à 56,9 pour cent. Neuchâtel a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/04/CHE_Neuch%C3%A2tel_COA.svg/500px-CHE_Neuch%C3%A2tel_COA.svg.png"
6487,10.6,10.6,89.4,"Val-de-Ruz (NE)","L'initiative sur la neutralité n'a pas convaincu à Val-de-Ruz. Les citoyens de la commune ont refusé le texte à 89,4 pour cent. Val-de-Ruz a dit non à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b1/CHE_Val-de-Ruz_COA.svg/500px-CHE_Val-de-Ruz_COA.svg.png"
