"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
1501,81.9,81.9,18.1,"Beckenried NW","Beckenried hat die Neutralitätsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 81,9 Prozent. Beckenried sagt wie der Kanton Nidwalden Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0d/CHE_Beckenried_COA.svg/960px-CHE_Beckenried_COA.svg.png"
1502,62.8,62.8,37.2,"Buochs NW","Mit 62,8 Prozent befürworten die Stimmberechtigten von Buochs die Neutralitätsinitiative. Buochs sagt wie der Kanton Nidwalden Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8c/CHE_Buochs_COA.svg/960px-CHE_Buochs_COA.svg.png"
1503,15.3,15.3,84.7,"Dallenwil NW","In Dallenwil ist die Neutralitätsinitiative mit 84,7 Prozent der Stimmen gescheitert. Abweichung: Dallenwil verwirft die Neutralitätsinitiative, der Kanton Nidwalden stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cc/CHE_Dallenwil_COA.svg/500px-CHE_Dallenwil_COA.svg.png"
1504,53.6,53.6,46.4,"Emmetten NW","Emmetten hat die Neutralitätsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 53,6 Prozent. Emmetten sagt wie der Kanton Nidwalden Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Emmetten_COA.svg/960px-CHE_Emmetten_COA.svg.png"
1505,42.3,42.3,57.7,"Ennetbürgen NW","57,7 Prozent der Stimmbürgerinnen und Stimmbürger von Ennetbürgen haben die Neutralitätsinitiative abgelehnt. Abweichung: Ennetbürgen verwirft die Neutralitätsinitiative, der Kanton Nidwalden stimmt zu.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/CHE_Ennetburgen_COA.svg/960px-CHE_Ennetburgen_COA.svg.png"
1506,93.1,93.1,6.9,"Ennetmoos NW","Ennetmoos hat die Neutralitätsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 93,1 Prozent. Ennetmoos erzielt im Kanton Nidwalden den höchsten Ja-Anteil zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c2/CHE_Ennetmoos_COA.svg/960px-CHE_Ennetmoos_COA.svg.png"
1507,69.1,69.1,30.9,"Hergiswil NW","Ja zur Neutralitätsinitiative in Hergiswil NW: 69,1 Prozent. Hergiswil NW sagt wie der Kanton Nidwalden Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/CHE_Hergiswil_COA.svg/960px-CHE_Hergiswil_COA.svg.png"
1508,52.7,52.7,47.3,"Oberdorf NW","Die Neutralitätsinitiative erreicht in Oberdorf NW 52,7 Prozent Ja-Stimmen. Oberdorf NW sagt wie der Kanton Nidwalden Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8c/CHE_Oberdorf_NW_COA.svg/960px-CHE_Oberdorf_NW_COA.svg.png"
1509,75.9,75.9,24.1,"Stans NW","Stans hat die Neutralitätsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 75,9 Prozent. Stans sagt wie der Kanton Nidwalden Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/95/CHE_Stans_COA.svg/960px-CHE_Stans_COA.svg.png"
1510,62.1,62.1,37.9,"Stansstad NW","Die Neutralitätsinitiative erreicht in Stansstad 62,1 Prozent Ja-Stimmen. Stansstad sagt wie der Kanton Nidwalden Ja zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/CHE_Stansstad_COA.svg/960px-CHE_Stansstad_COA.svg.png"
1511,12.4,12.4,87.6,"Wolfenschiessen NW","87,6 Prozent der Stimmbürgerinnen und Stimmbürger von Wolfenschiessen haben die Neutralitätsinitiative abgelehnt. Wolfenschiessen verzeichnet im Kanton Nidwalden den höchsten Nein-Anteil zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6b/CHE_Wolfenschiessen_COA.svg/960px-CHE_Wolfenschiessen_COA.svg.png"
