"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
2401,55.5,55.5,44.5,"Egerkingen SO","Egerkingen hat die Neutralitätsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 55,5 Prozent. Egerkingen sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f7/Egerkingen-blazon.svg/250px-Egerkingen-blazon.svg.png"
2402,16.5,16.5,83.5,"Härkingen SO","Mit 83,5 Prozent wird die Neutralitätsinitiative in Härkingen verworfen. Sowohl Härkingen als auch der Kanton Solothurn verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7f/CHE_H%C3%A4rkingen_COA.svg/960px-CHE_H%C3%A4rkingen_COA.svg.png"
2403,5,5,95,"Kestenholz SO","Nein zur Neutralitätsinitiative in Kestenholz: 95 Prozent. Sowohl Kestenholz als auch der Kanton Solothurn verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b0/CHE_Kestenholz_COA.svg/960px-CHE_Kestenholz_COA.svg.png"
2404,87.9,87.9,12.1,"Neuendorf SO","Neuendorf stimmt der Neutralitätsinitiative mit 87,9 Prozent zu. Neuendorf sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/Neuendorf_SO-blazon.svg/250px-Neuendorf_SO-blazon.svg.png"
2405,27.1,27.1,72.9,"Niederbuchsiten SO","72,9 Prozent der Stimmbürgerinnen und Stimmbürger von Niederbuchsiten sprechen sich gegen die Neutralitätsinitiative aus. Sowohl Niederbuchsiten als auch der Kanton Solothurn verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/41/Niederbuchsiten-blazon.svg/250px-Niederbuchsiten-blazon.svg.png"
2406,40.9,40.9,59.1,"Oberbuchsiten SO","59,1 Prozent der Stimmbürgerinnen und Stimmbürger von Oberbuchsiten sprechen sich gegen die Neutralitätsinitiative aus. Sowohl Oberbuchsiten als auch der Kanton Solothurn verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b8/Oberbuchsiten-blazon.svg/250px-Oberbuchsiten-blazon.svg.png"
2407,26.9,26.9,73.1,"Oensingen SO","73,1 Prozent der Stimmbürgerinnen und Stimmbürger von Oensingen haben die Neutralitätsinitiative abgelehnt. Sowohl Oensingen als auch der Kanton Solothurn verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fc/Oensingen-blazon.svg/250px-Oensingen-blazon.svg.png"
2408,58.3,58.3,41.7,"Wolfwil SO","Wolfwil hat die Neutralitätsinitiative angenommen; der Ja-Stimmen-Anteil liegt bei 58,3 Prozent. Wolfwil sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8d/Wolfwil-blason.svg/960px-Wolfwil-blason.svg.png"
2421,61,61,39,"Aedermannsdorf SO","Aedermannsdorf stimmt der Neutralitätsinitiative mit 61 Prozent zu. Aedermannsdorf sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/28/Aedermannsdorf-blazon.svg/250px-Aedermannsdorf-blazon.svg.png"
2422,34.4,34.4,65.6,"Balsthal SO","Nein zur Neutralitätsinitiative in Balsthal: 65,6 Prozent. Sowohl Balsthal als auch der Kanton Solothurn verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c7/Balsthal-blazon.svg/250px-Balsthal-blazon.svg.png"
2424,89.4,89.4,10.6,"Herbetswil SO","Die Neutralitätsinitiative erreicht in Herbetswil 89,4 Prozent Ja-Stimmen. Herbetswil sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e8/Herbetswil-blazon.svg/250px-Herbetswil-blazon.svg.png"
2425,18.2,18.2,81.8,"Holderbank SO","In Holderbank SO ist die Neutralitätsinitiative mit 81,8 Prozent der Stimmen gescheitert. Sowohl Holderbank SO als auch der Kanton Solothurn verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b2/CHE_Holderbank_SO_CHE.svg/500px-CHE_Holderbank_SO_CHE.svg.png"
2426,52,52,48,"Laupersdorf SO","Ja zur Neutralitätsinitiative in Laupersdorf: 52 Prozent. Laupersdorf sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b1/Laupersdorf-blazon.svg/250px-Laupersdorf-blazon.svg.png"
2427,90,90,10,"Matzendorf SO","Matzendorf stimmt der Neutralitätsinitiative mit 90 Prozent zu. Matzendorf sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/4/44/Matzendorf-blazon.svg/250px-Matzendorf-blazon.svg.png"
2428,65.4,65.4,34.6,"Mümliswil-Ramiswil SO","Ja zur Neutralitätsinitiative in Mümliswil-Ramiswil: 65,4 Prozent. Mümliswil-Ramiswil sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2c/M%C3%BCmliswilRamiswil-blazon.svg/250px-M%C3%BCmliswilRamiswil-blazon.svg.png"
2430,58.7,58.7,41.3,"Welschenrohr-Gänsbrunnen SO","Die Neutralitätsinitiative erreicht in Welschenrohr-Gänsbrunnen 58,7 Prozent Ja-Stimmen. Welschenrohr-Gänsbrunnen sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b6/Welschenrohr-blazon.svg/250px-Welschenrohr-blazon.svg.png"
2445,12,12,88,"Biezwil SO","In Biezwil ist die Neutralitätsinitiative mit 88 Prozent der Stimmen gescheitert. Sowohl Biezwil als auch der Kanton Solothurn verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/Biezwil-blazon.svg/250px-Biezwil-blazon.svg.png"
2455,76.5,76.5,23.5,"Lüterkofen-Ichertswil SO","Die Neutralitätsinitiative erreicht in Lüterkofen-Ichertswil 76,5 Prozent Ja-Stimmen. Lüterkofen-Ichertswil sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://upload.wikimedia.org/wikipedia/commons/3/3f/Lueterkofen-blason.png"
2457,54,54,46,"Messen SO","Die Neutralitätsinitiative erreicht in Messen 54 Prozent Ja-Stimmen. Messen sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/9/97/Messen-blazon.svg/250px-Messen-blazon.svg.png"
2461,50.2,50.2,49.8,"Schnottwil SO","In Schnottwil wird die Neutralitätsinitiative mit 50,2 Prozent angenommen. Schnottwil sagt Ja zur Neutralitätsinitiative, im Kanton Solothurn überwiegt das Nein.","https://upload.wikimedia.org/wikipedia/commons/4/46/Schnottwil-blason.png"
2463,49.4,49.4,50.6,"Unterramsern SO","50,6 Prozent der Stimmbürgerinnen und Stimmbürger von Unterramsern sprechen sich gegen die Neutralitätsinitiative aus. Sowohl Unterramsern als auch der Kanton Solothurn verwerfen die Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f9/Unterramsern-blazon.svg/250px-Unterramsern-blazon.svg.png"
