"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it","link_wappen"
1,18.8,18.8,81.2,"Aeugst am Albis (ZH)","A Aeugst am Albis, l'Iniziativa sull'alimentazione è stata respinta con il 81,2 per cento. Divergenza: Aeugst am Albis dice no all'Iniziativa sull'alimentazione, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Aeugst_am_Albis_COA.svg/250px-CHE_Aeugst_am_Albis_COA.svg.png"
2,94.2,94.2,5.8,"Affoltern am Albis (ZH)","La popolazione di Affoltern am Albis approva l'Iniziativa sull'alimentazione con il 94,2 per cento. Affoltern am Albis approva l'Iniziativa sull'alimentazione, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6c/CHE_Affoltern_am_Albis_COA.svg/250px-CHE_Affoltern_am_Albis_COA.svg.png"
3,32.5,32.5,67.5,"Bonstetten (ZH)","A Bonstetten l'Iniziativa sull'alimentazione è stata respinta con il 67,5 per cento. Divergenza: Bonstetten dice no all'Iniziativa sull'alimentazione, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/12/CHE_Bonstetten_COA.svg/330px-CHE_Bonstetten_COA.svg.png"
4,26.4,26.4,73.6,"Hausen am Albis (ZH)","A Hausen am Albis l'Iniziativa sull'alimentazione non ottiene la maggioranza: 73,6 per cento di no. Divergenza: Hausen am Albis dice no all'Iniziativa sull'alimentazione, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/CHE_Hausen_am_Albis_COA.svg/250px-CHE_Hausen_am_Albis_COA.svg.png"
5,7.4,7.4,92.6,"Hedingen (ZH)","La popolazione di Hedingen respinge l'Iniziativa sull'alimentazione con il 92,6 per cento. Divergenza: Hedingen dice no all'Iniziativa sull'alimentazione, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/CHE_Hedingen_COA.svg/250px-CHE_Hedingen_COA.svg.png"
6,38.4,38.4,61.6,"Kappel am Albis (ZH)","A Kappel am Albis l'Iniziativa sull'alimentazione è stata respinta con il 61,6 per cento. Divergenza: Kappel am Albis dice no all'Iniziativa sull'alimentazione, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/CHE_Kappel_am_Albis_COA.svg/250px-CHE_Kappel_am_Albis_COA.svg.png"
7,86.4,86.4,13.6,"Knonau (ZH)","Sì all'Iniziativa sull'alimentazione a Knonau, con il 86,4 per cento di voti favorevoli. Knonau approva l'Iniziativa sull'alimentazione, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/CHE_Knonau_COA.svg/250px-CHE_Knonau_COA.svg.png"
8,2.8,2.8,97.2,"Maschwanden (ZH)","La popolazione di Maschwanden respinge l'Iniziativa sull'alimentazione con il 97,2 per cento. Il tasso più alto di no all'Iniziativa sull'alimentazione nel cantone Zurigo è a Maschwanden.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_Maschwanden_COA.svg/250px-CHE_Maschwanden_COA.svg.png"
9,77.3,77.3,22.7,"Mettmenstetten (ZH)","Sì all'Iniziativa sull'alimentazione a Mettmenstetten con il 77,3 per cento. Mettmenstetten approva l'Iniziativa sull'alimentazione, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/CHE_Mettmenstetten_COA.svg/250px-CHE_Mettmenstetten_COA.svg.png"
10,67.1,67.1,32.9,"Obfelden (ZH)","Sì all'Iniziativa sull'alimentazione a Obfelden con il 67,1 per cento. Obfelden approva l'Iniziativa sull'alimentazione, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Obfelden_COA.svg/250px-CHE_Obfelden_COA.svg.png"
11,60.4,60.4,39.6,"Ottenbach (ZH)","Sì all'Iniziativa sull'alimentazione a Ottenbach, con il 60,4 per cento di voti favorevoli. Ottenbach approva l'Iniziativa sull'alimentazione, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/28/CHE_Ottenbach_COA.svg/250px-CHE_Ottenbach_COA.svg.png"
12,47.6,47.6,52.4,"Rifferswil (ZH)","La popolazione di Rifferswil respinge l'Iniziativa sull'alimentazione con il 52,4 per cento. Divergenza: Rifferswil dice no all'Iniziativa sull'alimentazione, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fa/CHE_Rifferswil_COA.svg/250px-CHE_Rifferswil_COA.svg.png"
13,34.7,34.7,65.3,"Stallikon (ZH)","A Stallikon l'Iniziativa sull'alimentazione non ottiene la maggioranza: 65,3 per cento di no. Divergenza: Stallikon dice no all'Iniziativa sull'alimentazione, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/22/CHE_Stallikon_COA.svg/250px-CHE_Stallikon_COA.svg.png"
14,58.6,58.6,41.4,"Wettswil am Albis (ZH)","A Wettswil am Albis, l'Iniziativa sull'alimentazione è approvata con il 58,6 per cento. Wettswil am Albis approva l'Iniziativa sull'alimentazione, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c6/CHE_Wettswil_am_Albis_COA.svg/250px-CHE_Wettswil_am_Albis_COA.svg.png"
22,40.8,40.8,59.2,"Benken (ZH)","Con il 59,2 per cento dei voti, l'Iniziativa sull'alimentazione viene respinta a Benken ZH. Divergenza: Benken ZH dice no all'Iniziativa sull'alimentazione, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2c/CHE_Benken_COA.svg/250px-CHE_Benken_COA.svg.png"
23,65.7,65.7,34.3,"Berg am Irchel (ZH)","La popolazione di Berg am Irchel approva l'Iniziativa sull'alimentazione con il 65,7 per cento. Berg am Irchel approva l'Iniziativa sull'alimentazione, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b6/CHE_Berg_am_Irchel_COA.svg/250px-CHE_Berg_am_Irchel_COA.svg.png"
24,22.1,22.1,77.9,"Buch am Irchel (ZH)","Con il 77,9 per cento dei voti, Buch am Irchel ha respinto l'Iniziativa sull'alimentazione. Divergenza: Buch am Irchel dice no all'Iniziativa sull'alimentazione, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ae/CHE_Buch_am_Irchel_COA.svg/250px-CHE_Buch_am_Irchel_COA.svg.png"
25,30.3,30.3,69.7,"Dachsen (ZH)","Con il 69,7 per cento dei voti, Dachsen ha respinto l'Iniziativa sull'alimentazione. Divergenza: Dachsen dice no all'Iniziativa sull'alimentazione, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c5/CHE_Dachsen_COA.svg/330px-CHE_Dachsen_COA.svg.png"
26,34,34,66,"Dorf (ZH)","La popolazione di Dorf respinge l'Iniziativa sull'alimentazione con il 66 per cento. Divergenza: Dorf dice no all'Iniziativa sull'alimentazione, il cantone Zurigo dice sì.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/14/CHE_Dorf_COA.svg/250px-CHE_Dorf_COA.svg.png"
27,70.7,70.7,29.3,"Feuerthalen (ZH)","La popolazione di Feuerthalen approva l'Iniziativa sull'alimentazione con il 70,7 per cento. Feuerthalen approva l'Iniziativa sull'alimentazione, così come il cantone Zurigo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/50/CHE_Feuerthalen_COA.svg/250px-CHE_Feuerthalen_COA.svg.png"
