"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr","link_wappen"
1,60.3,60.3,39.7,"Aeugst am Albis (ZH)","La population d'Aeugst am Albis approuve à 60,3 pour cent l'initiative sur la neutralité. Aeugst am Albis a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Aeugst_am_Albis_COA.svg/250px-CHE_Aeugst_am_Albis_COA.svg.png"
2,6.5,6.5,93.5,"Affoltern am Albis (ZH)","L'initiative sur la neutralité n'a pas convaincu à Affoltern am Albis. Les citoyens de la commune ont refusé le texte à 93,5 pour cent. Affoltern am Albis a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6c/CHE_Affoltern_am_Albis_COA.svg/250px-CHE_Affoltern_am_Albis_COA.svg.png"
3,60.2,60.2,39.8,"Bonstetten (ZH)","Les habitants de Bonstetten acceptent à 60,2 pour cent l'initiative sur la neutralité. Bonstetten a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/12/CHE_Bonstetten_COA.svg/330px-CHE_Bonstetten_COA.svg.png"
4,75.4,75.4,24.6,"Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent oui à 75,4 pour cent à l'initiative sur la neutralité. Hausen am Albis a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/CHE_Hausen_am_Albis_COA.svg/250px-CHE_Hausen_am_Albis_COA.svg.png"
5,39.5,39.5,60.5,"Hedingen (ZH)","Les habitants de Hedingen s'opposent à l'initiative sur la neutralité par 60,5 pour cent des voix. Hedingen a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/CHE_Hedingen_COA.svg/250px-CHE_Hedingen_COA.svg.png"
6,88.6,88.6,11.4,"Kappel am Albis (ZH)","Les habitants de Kappel am Albis acceptent à 88,6 pour cent l'initiative sur la neutralité. Kappel am Albis a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/CHE_Kappel_am_Albis_COA.svg/250px-CHE_Kappel_am_Albis_COA.svg.png"
7,87.2,87.2,12.8,"Knonau (ZH)","Knonau dit oui à 87,2 pour cent à l'initiative sur la neutralité. Knonau a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/CHE_Knonau_COA.svg/250px-CHE_Knonau_COA.svg.png"
8,1.3,1.3,98.7,"Maschwanden (ZH)","La population de Maschwanden rejette à 98,7 pour cent des voix l'initiative sur la neutralité. L'initiative a récolté le plus grand pourcentage de non du canton dans cette commune.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_Maschwanden_COA.svg/250px-CHE_Maschwanden_COA.svg.png"
9,13,13,87,"Mettmenstetten (ZH)","A Mettmenstetten, les citoyens rejettent à 87 pour cent l'initiative sur la neutralité. Mettmenstetten a dit non à l'initiative, contrairement à son canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/CHE_Mettmenstetten_COA.svg/250px-CHE_Mettmenstetten_COA.svg.png"
10,74.9,74.9,25.1,"Obfelden (ZH)","A Obfelden, les habitants disent oui à 74,9 pour cent à l'initiative sur la neutralité. Obfelden a dit oui à l'initiative, tout comme le canton.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Obfelden_COA.svg/250px-CHE_Obfelden_COA.svg.png"
